HID;PID;TIME_PERIOD;REF_AREA;HHC1;HHC2;HHC3;HHC3A;HHC3B;HHC4;HHC5;INDC1;INDC_RM_18_1;INDC_RM_18_2;INDC_RM_18_3;INDC_RM_18_4;INDC_RM_18_5;INDC_RM_18_6;INDC_RM_18_7;INDC_RM_18_8;INDC_RM_18_9;INDC_RM_18_10;INDC_RM_18_11;INDC_RM_18_12;INDC_RM_18_13;INDC_RM_18_14;INDC_RM_18_15;INDC_RM_18_16;INDC_RM_18_17;INDC_RM_18_18;INDC_RM_18_19;HHC6;HHC7;HHC8;HHC12;HHC12A;HHC12B;HHC12C;HHC12E;HHC12F;HHC12G;HHC9;HHC9A;HHC9B;HH9C;HH9D;HH9E;HH9F;HH9G;HH9H;HH9I;HH9J;HH9K;HH10;HH10A;HH10B;HH10C;HH10D;HH10E;HH10F;HH10G;HH10H;HHC11A;HH11A_1;HH11A_2;HHC11B;HH11B_1;HH11B_2;HHC11C;HH11C_1;HH11C_2;HHC11D;HH11D_1;HH11D_2;HHC11E;HH11E_1;HH11E_2;HHC11F;HH11F_1;HH11F_2;IND1;IND2;IND3;IND4;IND3_1;IND3_2;IND4_1;IND4_2;IND4_3;INDC3;INDC4;IND5;IND7_1;IND7_2;INDC5;IND8_1;IND8_2;IND8;INDC6;IND6_1;IND10;IND11;IND12;IND13;IND14;IDN15;IND15_2;IND16;IND16_2;IND17;IND17_2;IND17_3;IND17_4;IND18;IND19;INDC20;IND20;IND20_2;IND35;IND36;IND37;IND38;IND34_E;IND35_E;IND34_H;IND35_H;IND36_H;IND37_H;IND38_H;INDC7;INDC7_2;IND21;IND21_2;IND21_3;IND22;IND22_2;IND23_1;IND23_2;IND23_3;IND23_4;IND24;IND24_2;IND24_3;IND24_4;IND24_5;IND24_6;IND24_7;IND24_8;IND24_9;IND51;IND52;WGHT2;HHC12_imp;HHC12A_imp;HHC12B_imp;HHC12C_imp;HHC12E_imp;HHC12F_imp;HHC12G_imp;HHC9_imp;HHC9B_imp;HHC9A_imp;HHC11A_imp;HHC11C_imp;HHC11D_imp;IND15_imp;IND15_2_imp;IND19_imp;INDC20_imp;IND20_2_imp;IND35_imp;IND36_imp;IND37_imp;IND38_imp;IND34_E_imp;IND35_E_imp;IND34_H_imp;IND35_H_imp;IND36_H_imp;IND37_H_imp;IND38_H_imp;IND21_2_imp;IND21_3_imp;IND22_imp;IND24_imp;IND24_2_imp;IND24_3_imp;IND24_4_imp;IND24_5_imp;IND24_6_imp;IND24_7_imp;IND24_8_imp;IND24_9_imp
11769;1;2020;AT;5;3;0;0;0;1;4;1;0;11;51;51;51;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;5;4;-1;-1;-1;-1;-1;-1;-1;-1;3;4;1785,71428571429010;1;1;2;2;2;2;2;2;2;3;-1;-1;-1;-1;-1;-1;-1;-1;2;-1;-1;-1;-1;-1;2;-1;-1;2;-1;-1,0;2;-1;-1;2;-1;-1;2;9;1;1;1;1;AT;3;4;2;2;1;-1;-1;1;86;22;20,0;3;3;1;2;1;3;3;1;30;1;4,0;-1;-1;-1;-1;10;2;-1;0;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;4;6;1;2;3;2;-1;3;1;5;5;1;2;1;2;1;2;2;2;2;21;1;3095,329813170150;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
11769;2;2020;AT;5;3;0;0;0;1;4;1;11;0;51;51;51;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;5;4;-1;-1;-1;-1;-1;-1;-1;-1;3;4;1785,71428571429010;1;1;2;2;2;2;2;2;2;3;-1;-1;-1;-1;-1;-1;-1;-1;2;-1;-1;-1;-1;-1;2;-1;-1;2;-1;-1,0;2;-1;-1;2;-1;-1;1;9;1;1;1;1;AT;3;4;2;2;1;-1;-1;1;49;83;43,0;3;3;1;1;0;3;3;1;28;2;-1,0;-1;-1;-1;-1;10;2;-1;0;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;3;3;2;1;2;2;-1;3;2;5;5;1;1;2;2;2;1;2;2;2;21;1;3095,329813170150;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
11850;1;2020;AT;3;5;0;0;0;0;3;1;0;51;11;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;5;4;1;-1;-1;-1;-1;-1;-1;-1;3;4;1900,00000000000000;1;1;2;2;2;2;2;1;2;3;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;2;-1;-1;2;-1;-1,0;2;-1;-1;2;-1;-1;2;9;3;1;3;3;AT;1;1;1;-1;-1;-1;-1;1;46;61;38,5;3;2;1;1;0;3;3;1;28;2;-1,0;-1;-1;-1;-1;10;2;-1;0;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;3;5;2;1;3;2;-1;3;3;3;4;3;-1;-1;-1;-1;-1;-1;-1;-1;21;1;1558,740976353850;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
11850;3;2020;AT;3;5;0;0;0;0;3;1;11;51;0;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;5;4;1;-1;-1;-1;-1;-1;-1;-1;3;4;1900,00000000000000;1;1;2;2;2;2;2;1;2;3;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;2;-1;-1;2;-1;-1,0;2;-1;-1;2;-1;-1;1;10;3;1;3;3;AT;1;1;1;-1;-1;-1;-1;1;43;74;40,0;1;8;-1;1;0;1;2;2;-1;2;-1,0;-1;-1;-1;-1;10;2;-1;0;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;3;3;2;2;3;2;-1;2;4;3;3;3;-1;-1;-1;-1;-1;-1;-1;-1;21;1;1558,740976353850;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
11892;1;2020;AT;2;7;0;0;0;0;2;1;0;12;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;4;3;1;-1;-1;-1;-1;-1;-1;-1;5;4;3333,33333333332985;1;2;2;2;2;2;2;2;2;3;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;2;-1;-1;2;-1;-1,0;2;-1;-1;2;-1;-1;1;5;1;1;1;4;AT;2;3;2;2;1;-1;-1;1;35;81;37,5;3;3;1;1;0;3;3;1;19;2;-1,0;-1;-1;-1;-1;10;2;-1;0;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;5;9;2;2;3;2;-1;5;1;5;3;3;-1;-1;-1;-1;-1;-1;-1;-1;12;1;361,881070268304;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
11892;2;2020;AT;2;7;0;0;0;0;2;1;12;0;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;4;3;1;-1;-1;-1;-1;-1;-1;-1;5;4;3333,33333333332985;1;2;2;2;2;2;2;2;2;3;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;2;-1;-1;2;-1;-1,0;2;-1;-1;2;-1;-1;2;5;2;2;2;2;AT;2;3;1;-1;-1;-1;-1;1;22;31;38,5;3;2;1;1;0;3;3;1;25;2;-1,0;-1;-1;-1;-1;10;2;-1;0;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;3;3;2;2;3;2;-1;3;4;5;5;3;-1;-1;-1;-1;-1;-1;-1;-1;12;1;361,881070268304;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
11928;1;2020;AT;2;6;0;0;0;0;2;1;0;12;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;4;3;1;-1;-1;-1;-1;-1;-1;-1;1;2;1066,66666666666993;1;2;2;2;2;1;1;1;2;3;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;2;-1;-1;2;-1;-1,0;2;-1;-1;2;-1;-1;1;4;1;1;1;1;AT;1;1;1;-1;-1;-1;-1;1;71;41;5,0;3;3;1;2;5;1;2;1;25;2;-1,0;-1;-1;-1;-1;50;1;6;11;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;5;9;1;2;3;2;-1;3;2;3;4;3;-1;-1;-1;-1;-1;-1;-1;-1;12;1;472,685574769810;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
11928;2;2020;AT;2;6;0;0;0;0;2;1;12;0;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;4;3;1;-1;-1;-1;-1;-1;-1;-1;1;2;1066,66666666666993;1;2;2;2;2;1;1;1;2;3;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;2;-1;-1;2;-1;-1,0;2;-1;-1;2;-1;-1;2;4;1;1;1;1;AT;1;1;3;-1;-1;2;2;2;-1;-1;-1,0;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1,0;2;2;-1;-1;50;1;6;11;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;5;9;1;2;3;2;-1;2;3;3;3;3;-1;-1;-1;-1;-1;-1;-1;-1;12;2;472,685574769810;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
11929;1;2020;AT;2;6;0;0;0;0;2;1;0;12;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;4;3;1;-1;-1;-1;-1;-1;-1;-1;2;2;1333,33333333333007;1;2;2;2;2;2;2;2;2;3;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;2;-1;-1;2;-1;-1,0;2;-1;-1;2;-1;-1;1;4;1;1;1;1;AT;3;4;1;-1;-1;-1;-1;1;33;43;38,5;3;3;1;1;0;3;3;2;-1;2;-1,0;-1;-1;-1;-1;80;2;-1;0;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;3;5;1;2;3;2;-1;1;4;1;1;3;-1;-1;-1;-1;-1;-1;-1;-1;12;1;270,840019140774;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
11929;2;2020;AT;2;6;0;0;0;0;2;1;12;0;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;4;3;1;-1;-1;-1;-1;-1;-1;-1;2;2;1333,33333333333007;1;2;2;2;2;2;2;2;2;3;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;2;-1;-1;2;-1;-1,0;2;-1;-1;2;-1;-1;2;4;1;1;1;1;AT;3;4;1;-1;-1;-1;-1;1;64;33;38,5;3;3;1;1;0;2;2;1;25;2;-1,0;-1;-1;-1;-1;10;2;-1;0;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;5;9;1;2;3;2;-1;3;3;2;2;3;-1;-1;-1;-1;-1;-1;-1;-1;12;1;270,840019140774;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
11963;1;2020;AT;2;5;0;0;0;0;2;1;0;12;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;4;3;1;-1;-1;-1;-1;-1;-1;-1;1;2;1066,66666666666993;1;2;2;2;2;2;1;1;2;3;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;2;-1;-1;2;-1;-1,0;2;-1;-1;2;-1;-1;2;3;1;1;1;1;AT;3;4;3;-1;-1;2;2;2;-1;-1;-1,0;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1,0;1;-1;-1;1;50;1;7;12;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;6;11;3;2;2;2;-1;4;3;5;3;3;-1;-1;-1;-1;-1;-1;-1;-1;12;1;174,787566466426;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
11963;2;2020;AT;2;5;0;0;0;0;2;1;12;0;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;4;3;1;-1;-1;-1;-1;-1;-1;-1;1;2;1066,66666666666993;1;2;2;2;2;2;1;1;2;3;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;2;-1;-1;2;-1;-1,0;2;-1;-1;2;-1;-1;1;3;1;1;1;1;AT;3;4;2;4;4;-1;-1;1;86;32;40,0;3;3;1;1;0;3;3;1;25;2;-1,0;-1;-1;-1;-1;50;1;3;8;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;2;2;1;2;3;2;-1;4;3;3;3;3;-1;-1;-1;-1;-1;-1;-1;-1;12;1;174,787566466426;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
11969;1;2020;AT;5;2;0;0;0;3;2;1;0;11;52;52;52;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;5;4;-1;1;1;-1;-1;3;-1;-1;4;5;2309,58333333332985;1;1;2;2;2;2;1;1;2;3;-1;-1;-1;-1;-1;-1;-1;-1;2;-1;-1;-1;-1;-1;2;-1;-1;2;-1;-1,0;2;-1;-1;2;-1;-1;1;9;1;1;1;1;AT;1;2;1;-1;-1;-1;-1;1;62;25;40,0;2;7;-1;1;0;1;1;2;-1;2;-1,0;-1;-1;-1;-1;10;2;-1;0;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;8;14;2;2;3;2;-1;3;3;3;3;3;-1;-1;-1;-1;-1;-1;-1;-1;12;1;794,216895130302;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
11969;2;2020;AT;5;2;0;0;0;3;2;1;11;0;51;51;51;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;5;4;-1;1;1;-1;-1;3;-1;-1;4;5;2309,58333333332985;1;1;2;2;2;2;1;1;2;3;-1;-1;-1;-1;-1;-1;-1;-1;2;-1;-1;-1;-1;-1;2;-1;-1;2;-1;-1,0;2;-1;-1;2;-1;-1;2;7;1;1;1;2;AT;1;2;1;-1;-1;-1;-1;1;85;23;22,0;3;3;1;2;1;2;2;1;25;2;-1,0;-1;-1;-1;-1;10;2;-1;0;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;7;12;1;2;3;2;-1;3;3;3;3;3;-1;-1;-1;-1;-1;-1;-1;-1;12;1;794,216895130302;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
11976;1;2020;AT;3;8;0;0;0;0;3;1;0;21;12;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;6;3;1;-1;-1;-1;-1;-1;-1;-1;1;2;650,00000000000000;2;1;1;1;2;1;2;2;2;3;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;2;-1;-1;2;-1;-1,0;2;-1;-1;2;-1;-1;2;6;1;1;1;1;AT;3;4;1;-1;-1;-1;-1;1;47;51;30,0;3;2;1;2;8;3;3;1;25;2;-1,0;-1;-1;-1;-1;80;2;-1;0;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;3;3;3;1;3;2;-1;3;2;3;3;3;-1;-1;-1;-1;-1;-1;-1;-1;12;1;1134,592894371470;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
11976;3;2020;AT;3;8;0;0;0;0;3;1;12;30;0;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;6;3;1;-1;-1;-1;-1;-1;-1;-1;1;2;650,00000000000000;2;1;1;1;2;1;2;2;2;3;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;2;-1;-1;2;-1;-1,0;2;-1;-1;2;-1;-1;1;6;1;1;1;1;AT;3;4;1;-1;-1;-1;-1;1;16;71;38,5;3;3;1;1;0;3;3;1;20;1;10,0;-1;-1;-1;-1;80;2;-1;0;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;3;3;2;2;3;2;-1;3;3;3;3;3;-1;-1;-1;-1;-1;-1;-1;-1;12;1;1134,592894371470;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
11990;1;2020;AT;2;13;0;0;0;0;2;1;0;12;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;4;3;1;-1;-1;-1;-1;-1;-1;-1;1;1;1,06666666666667;2;2;2;1;2;1;2;2;2;3;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;2;-1;-1;2;-1;-1,0;2;-1;-1;2;-1;-1;1;11;1;1;1;1;AT;3;4;3;-1;-1;2;2;2;-1;-1;-1,0;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1,0;1;-1;-1;2;30;2;-1;0;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;3;3;3;1;3;2;-1;4;2;4;4;2;1;1;2;2;2;2;2;2;12;1;445,289742558550;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
11990;2;2020;AT;2;13;0;0;0;0;2;1;12;0;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;4;3;1;-1;-1;-1;-1;-1;-1;-1;1;1;1,06666666666667;2;2;2;1;2;1;2;2;2;3;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;2;-1;-1;2;-1;-1,0;2;-1;-1;2;-1;-1;2;12;1;1;1;1;AT;3;4;3;-1;-1;2;2;2;-1;-1;-1,0;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1,0;2;2;-1;-1;30;2;-1;0;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;3;3;2;2;3;2;-1;3;2;3;3;2;2;2;2;1;1;2;2;2;12;2;445,289742558550;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
11998;1;2020;AT;3;1;1;1;1;0;2;1;0;11;51;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;5;4;-1;2;-1;3;3;3;3;3;1;1;277,77777777777800;1;1;2;2;2;1;2;2;2;1;2;2;2;1;1;1;2;2;2;-1;-1;2;-1;-1;2;-1;-1;2;-1;-1,0;2;-1;-1;2;-1;-1;1;5;1;1;1;1;AT;2;3;3;-1;-1;2;2;2;-1;-1;-1,0;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1,0;2;2;-1;-1;10;2;-1;0;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;5;19;2;2;3;2;-1;2;4;3;2;3;-1;-1;-1;-1;-1;-1;-1;-1;12;1;469,603563315076;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
11998;2;2020;AT;3;1;1;1;1;0;2;1;11;0;51;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;5;4;-1;2;-1;3;3;3;3;3;1;1;277,77777777777800;1;1;2;2;2;1;2;2;2;1;2;2;2;1;1;1;2;2;2;-1;-1;2;-1;-1;2;-1;-1;2;-1;-1,0;2;-1;-1;2;-1;-1;2;4;1;1;1;1;AT;2;3;2;3;6;2;2;2;-1;-1;-1,0;-1;-1;-1;-1;-1;-1;-1;2;-1;-1;-1,0;-1;-1;-1;-1;10;2;-1;0;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;5;9;2;2;3;2;-1;3;4;2;1;3;-1;-1;-1;-1;-1;-1;-1;-1;12;1;469,603563315076;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
12022;1;2020;AT;4;2;1;0;0;1;2;1;0;11;51;51;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;5;4;-1;1;1;-1;-1;3;-1;-1;1;1;285,71428571428601;2;2;2;2;2;2;1;2;2;3;-1;-1;-1;-1;-1;-1;-1;-1;2;-1;-1;-1;-1;-1;2;-1;-1;2;-1;-1,0;2;-1;-1;2;-1;-1;2;6;1;1;1;1;AT;3;4;3;-1;-1;2;2;2;-1;-1;-1,0;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1,0;2;2;-1;-1;60;2;-1;0;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;3;3;1;1;3;2;-1;3;3;3;3;3;-1;-1;-1;-1;-1;-1;-1;-1;12;1;386,099075993590;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
12022;2;2020;AT;4;2;1;0;0;1;2;1;11;0;51;51;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;5;4;-1;1;1;-1;-1;3;-1;-1;1;1;285,71428571428601;2;2;2;2;2;2;1;2;2;3;-1;-1;-1;-1;-1;-1;-1;-1;2;-1;-1;-1;-1;-1;2;-1;-1;2;-1;-1,0;2;-1;-1;2;-1;-1;1;6;1;1;1;1;AT;3;4;1;-1;-1;-1;-1;1;61;35;38,5;3;3;1;1;0;2;2;1;25;2;-1,0;-1;-1;-1;-1;60;2;-1;0;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;5;9;1;2;3;2;-1;3;2;2;1;3;-1;-1;-1;-1;-1;-1;-1;-1;12;1;386,099075993590;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
12042;1;2020;AT;2;7;0;0;0;0;2;1;0;12;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;4;3;1;-1;-1;-1;-1;-1;-1;-1;2;2;1400,00000000000000;2;1;2;2;2;1;2;2;2;3;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;2;-1;-1;2;-1;-1,0;2;-1;-1;2;-1;-1;1;6;1;1;1;1;AT;2;4;1;-1;-1;-1;-1;1;85;52;45,0;1;8;-1;1;0;3;3;2;-1;2;-1,0;-1;-1;-1;-1;10;2;-1;0;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;5;9;1;2;3;2;-1;3;5;5;3;3;-1;-1;-1;-1;-1;-1;-1;-1;12;1;361,389653149949;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
12042;2;2020;AT;2;7;0;0;0;0;2;1;12;0;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;4;3;1;-1;-1;-1;-1;-1;-1;-1;2;2;1400,00000000000000;2;1;2;2;2;1;2;2;2;3;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;2;-1;-1;2;-1;-1,0;2;-1;-1;2;-1;-1;2;5;1;1;1;1;AT;2;4;1;-1;-1;-1;-1;1;46;12;40,0;3;3;1;1;0;2;1;1;25;1;1,0;-1;-1;-1;-1;10;2;-1;0;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;7;12;1;2;3;2;-1;3;4;3;2;3;-1;-1;-1;-1;-1;-1;-1;-1;12;1;361,389653149949;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
12043;1;2020;AT;5;2;0;0;0;3;2;1;0;11;51;51;51;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;5;4;-1;1;1;-1;-1;3;-1;-1;3;4;1538,46153846153993;1;2;2;2;2;2;1;1;2;3;-1;-1;-1;-1;-1;-1;-1;-1;2;-1;-1;-1;-1;-1;2;-1;-1;2;-1;-1,0;2;-1;-1;2;-1;-1;2;8;1;1;1;1;AT;3;4;1;-1;-1;-1;-1;1;46;93;10,0;3;2;1;2;1;2;3;1;5;2;-1,0;-1;-1;-1;-1;60;2;-1;0;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;3;3;2;1;3;2;-1;2;3;2;1;3;-1;-1;-1;-1;-1;-1;-1;-1;12;1;271,283407410162;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
12043;2;2020;AT;5;2;0;0;0;3;2;1;11;0;52;51;51;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;5;4;-1;1;1;-1;-1;3;-1;-1;3;4;1538,46153846153993;1;2;2;2;2;2;1;1;2;3;-1;-1;-1;-1;-1;-1;-1;-1;2;-1;-1;-1;-1;-1;2;-1;-1;2;-1;-1,0;2;-1;-1;2;-1;-1;1;8;1;1;1;1;AT;3;4;1;-1;-1;-1;-1;1;46;33;38,5;3;3;1;1;0;2;3;1;25;2;-1,0;-1;-1;-1;-1;10;2;-1;0;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;2;2;2;1;2;2;-1;3;3;2;1;3;-1;-1;-1;-1;-1;-1;-1;-1;12;1;271,283407410162;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
